AgeGroup,BMI,ConversatiosPerDay,DisciplineScore,HappinessScore,HouseholdExpenseOnPresents,HouseholdExpenseOnSocialGames,HouseholdExpenseParkingTicketsPerYear,NrCousins,PCR_10,PCR_17,PCR_19,PCR_32,PCR_45,PCR_46,PCR_7,PCR_72,PCR_76,PCR_8,PCR_83,PCR_89,PCR_9,PCR_93,PCR_95,SocialActivitiesPerDay,SocialMediaPerDay,StepsPerYear,StudingPerDay,Virus,SpreadLevel,Risk
6,21.68861899,5,5,3,142.46,539.22,71.74,6,-1.439099916,-0.898619448,-0.280262307,0.36020165,-0.336174159,-0.451659007,-0.977558969,-0.254919984,6.860751651,-4.804193701,-0.290006093,5.922183757,1.50759245,0.300104538,2.043847332,88.66,76.15,0.000347222,0.8,not_detected,low,medium
4,20.99,11,5,5,954.45,447.81,596.8871092,4,-1.089589262,0.920671613,1.669766644,-1.382249709,1.346830559,1.737733473,-0.072170118,0.833122801,0.101098104,-5.262488591,1.172567119,2.23113197,-1.863397935,-1.071441865,-2.440531991,80.3,122.42,0.000208333,4.4,measles,medium,medium
5,22.14,15,6,6,1587.57,82.78,1118.51,5,-0.432979851,-0.420755153,-3.162155364,0.075122311,-0.341272316,-0.115791326,-0.309831232,0.370090644,2.890890384,-1.781205112,-0.345508231,1.378357487,-1436.889989,-0.320334461,-1.695612603,44.27,145.62,0.000277778,11.1,cold,high,low
7,21.68861899,13,6,5,1200.15,458.67,863.35,7,-0.80022521,0.552379013,2.761835896,-0.462365868,1.041728189,0.628359453,0.570570806,0.191349354,1.360501646,-3.443828302,1.013665413,2.957941525,1.424933527,0.476484035,1.431091545,80.57,152.2,0.000416667,8.7,measles,medium,medium
4,22.06,7,7,3,341.13,472.45,452.22,4,1.150535616,0.472761895,2.968502756,-1.02238511,2.050712273,1.369301098,0.479275328,-0.256081681,2.441147041,-2.956810918,1.975736011,-3.075252744,2.347653187,0.696664092,2.655841035,82.94,133.37,0.000208333,4.4,cold,medium,high
6,15.54,19,2,8,2014.52,464.34,1095.19,6,-1.588243748,-0.172702502,0.489484544,-0.297186904,1.040370461,433.4096341,-0.345487649,-0.035534866,1.706539654,-5.848474265,1.041292002,5.535419108,0.799097277,0.829886313,2.205907651,81.31,42.87,0.000347222,10.9,not_detected,low,low
6,20.18,5,6,2,114.87,400.0842112,534.23,6,0.537530409,0.06201319,-2.844529448,-0.06994554,-0.168100569,0.069118945,-0.01978645,0.580347629,-0.525041139,0.264141921,-188.9985004,1.951980444,4.29199349,-0.387846267,4.389535234,75.06,174.44,0.000347222,5.4,cold,low,medium
7,21.68861899,14,3,6,1451.77,693.4,418.78,7,0.040942671,-0.678333243,0.959848831,-1.438479683,1.901475646,1.848232592,-0.51887838,-1.055289854,2.890890384,1.42799008,1.745680961,1.443121409,2.709398928,-0.40915101,2.205907651,105.06,103.4,0.000416667,4.2,flue,medium,medium
6,17.58,15,5.754798762,5,1520.94,594.79,213.37,6,1.051266008,-0.328737242,-2.331467621,-0.901130216,1.072852214,1.148395494,-0.660755556,0.544452065,0.503071672,3.333571088,0.969205471,1.443121409,3.57614143,-0.423398151,4.022940447,95.23,118.4,0.000347222,2.2,cmv,medium,high
4,17.6,4,4,2,0,459.67,596.8871092,4,-0.055285049,-0.023612878,0.159027469,-0.349506121,8.541812184,0.475931681,-0.595539175,0.156943963,1.055173082,-2.956810918,0.778772168,1.242877257,1.863510343,0.377017516,2.188707796,81.38,77.68,0.000208333,5.2,cmv,low,medium
